age,job,contact,food,beverage,number_yoy,favorite_continent,prev_destination,season,destination,member,period,transport,budget
10,student,letter,sushi,Apple,9,Asia,Hawaii of USA,fall,Hawaii,4,4,bicycle,350000
10,student,email,sushi,Coffee,20,Asia,Hawaii of USA,summer,Paris,4,5,plane,310000
10,student,email,sushi,Apple,2,Asia,Hawaii of USA,summer,Sydney,5,5,walking,350000
10,student,letter,sushi,Apple,4,Africa,Hawaii of USA,summer,Ho Chi Minh,5,3,plane,320000
10,student,phone,sushi,Apple,6,Africa,Hawaii of USA,summer,London,4,6,plane,380000
10,student,email,sushi,Apple,9,Asia,Hawaii of USA,summer,null,4,24,plane,350000
10,student,phone,sushi,Coffee,8,Africa,Hawaii of USA,summer,London,4,5,bicycle,300000
10,student,phone,sushi,Grapefruit,5,Africa,Hawaii of USA,summer,Hawaii,5,2,ship,350000
10,student,letter,sushi,Grapefruit,9,North America,Hawaii of USA,summer,New York,4,2,ship,350000
10,student,letter,sushi,Kiwi,6,Africa,Hawaii of USA,spring,Jeju,5,4,bicycle,350000
10,student,email,sushi,Kiwi,5,Asia,Hawaii of USA,fall,Prague,4,26,bicycle,350000
10,student,letter,sushi,Mango,9,Asia,Hawaii of USA,summer,Hong Kong,4,6,bicycle,350000
10,student,letter,sushi,Coffee,30,Africa,Hawaii of USA,summer,Ho Chi Minh,5,6,plane,300000
10,student,letter,sushi,Orange,9,North America,Hawaii of USA,winter,Jeju,4,4,ship,350000
10,student,letter,sushi,Orange,2,Africa,Hawaii of USA,summer,Ho Chi Minh,5,3,walking,350000
10,student,email,sushi,Orange,2,Africa,Hawaii of USA,summer,Paris,4,4,plane,310000
10,student,phone,sushi,Orange,20,Asia,Hawaii of USA,spring,null,5,24,bicycle,340000
10,student,email,sushi,Orange,14,Asia,Hawaii of USA,summer,LA,4,1,plane,300000
10,student,email,sushi,Orange,1,Africa,Hawaii of USA,fall,Jeju,4,30,walking,320000
10,student,letter,sushi,Orange,9,Africa,Hawaii of USA,fall,Paris,4,4,walking,300000
10,student,letter,sushi,Orange,6,North America,Hawaii of USA,summer,Ho Chi Minh,5,5,bicycle,320000
10,student,email,sushi,Strawberry,3,Africa,Hawaii of USA,summer,Paris,4,2,plane,300000
10,student,email,sushi,Watermelon,4,Africa,Hawaii of USA,summer,Singapore,5,3,plane,300000
11,student,letter,sushi,Apple,8,Africa,Hawaii of USA,summer,New York,4,4,ship,340000
